datetime,S,sigma,K,expiry,T_years,contracts,shares,opt_price_straddle,opt_value,delta_opt,gamma_opt,vega_1pct_opt,theta_day_opt,cash,equity
2021-08-19,439.86,0.1625112187724643,438.0,2021-09-01,0.03561643835616438,1.0,-55.640785224485526,10.842910123002639,1084.291012300264,12.199879957808596,5.8452122645394535,65.45804975241091,-40.91410555281885,120612.80506024415,97222.94028370222
2021-08-20,443.36,0.14252121906382573,438.0,2021-09-01,0.03287671232876712,1.0,-55.640785224485526,10.074248900114611,1007.4248900114611,37.13288372627281,6.195498341461411,57.0633379014987,-33.886402006552515,120612.80506024415,96951.33141312771
2021-08-23,447.26,0.13616338373861547,438.0,2021-09-01,0.024657534246575342,1.0,-55.640785224485526,10.902552174820414,1090.2552174820414,67.74191119248174,5.1153616886584095,34.35630469994192,-25.989281670549953,120612.80506024415,96817.1626782228
2021-08-24,447.97,0.13564866220441502,438.0,2021-09-01,0.021917808219178082,1.0,-55.640785224485526,11.141520103754544,1114.1520103754544,74.18587896831727,4.679627161766224,27.920407479108956,-23.671037017145455,120612.80506024415,96801.55451360682
2021-08-25,448.91,0.1330308295889056,438.0,2021-09-01,0.019178082191780823,1.0,-55.640785224485526,11.599420415699633,1159.9420415699633,82.12798761729493,3.9063638311723983,20.08393120038204,-19.084157349952342,120612.80506024415,96795.04220669031
2021-08-26,446.26,0.14648366878512678,438.0,2021-09-01,0.01643835616438356,1.0,-55.640785224485526,9.65736833628418,965.7368336284179,68.47005207694363,5.750084241062262,27.573870022918783,-33.659347029678095,120612.80506024415,96748.28507959365
2021-08-27,450.25,0.13268005787855072,438.0,2021-09-01,0.0136986301369863,1.0,-55.640785224485526,12.45894860007013,1245.894860007013,92.55853991488603,2.3237742034459203,8.562176209995272,-11.360300351085229,120612.80506024415,96806.43637292656
2021-08-30,452.23,0.13134371720776386,438.0,2021-09-01,0.005479452054794521,1.0,-55.640785224485526,14.231150705619635,1423.1150705619634,99.90098667174283,0.08010134612308253,0.11789760623058523,-0.38712774630555713,120612.80506024415,96873.48782873702
2021-08-31,451.56,0.1319319288207137,438.0,2021-09-01,0.0027397260273972603,1.0,-55.640785224485526,13.560006437804095,1356.0006437804095,99.99900654954436,0.0014738190218332805,0.001086255862922522,-0.007165591559408856,120612.80506024415,96843.65272805588
2021-09-01,451.8,0.12845978683680348,452.0,2021-10-01,0.0821917808219178,1.0,-0.5103917561963767,13.279160079857007,1327.9160079857006,0.5103917561963767,4.795165015960326,103.34550637975536,-22.126236200141484,95756.97728328542,96854.29829582159
2021-09-02,453.19,0.1295303005370531,452.0,2021-10-01,0.07945205479452055,1.0,-0.5103917561963767,13.218241266246196,1321.8241266246196,7.192650051391802,4.802489046011327,101.50876080880514,-22.66975912880752,95756.97728328542,96847.4969699194
2021-09-03,453.08,0.12959822732388132,452.0,2021-10-01,0.07671232876712329,1.0,-0.5103917561963767,12.988641997723562,1298.8641997723562,6.7288776292950825,4.888610694712217,99.76988354242967,-23.08928579894458,95756.97728328542,96824.59318616033
2021-09-07,451.46,0.14059673484777874,452.0,2021-10-01,0.06575342465753424,1.0,-0.5103917561963767,13.00075338528157,1300.0753385281569,-1.2072481294601367,4.901586195162669,92.35678594354911,-27.052213634787986,95756.97728328542,96826.63115956116
2021-09-08,450.91,0.13967601453378609,452.0,2021-10-01,0.06301369863013699,1.0,-0.5103917561963767,12.65900432724689,1265.900432724689,-4.0937301143529226,5.040095264299978,90.19350933375414,-27.38667374033611,95756.97728328542,96792.73696922361
