datetime,close,hv,vix,sigma_proxy
2022-06-14,373.87,0.3106262719922112,32.69,0.32039050879688447
2022-06-15,379.2,0.30506400606761547,29.62,0.2997456024270462
2022-06-16,366.65,0.2938204033847537,32.95,0.3152281613539015
2022-06-17,365.86,0.29365389423516797,31.13,0.30424155769406713
2022-06-21,375.07,0.30993174684002434,30.19,0.30511269873600977
2022-06-22,374.39,0.3004015353728111,28.95,0.29386061414912445
2022-06-23,378.06,0.303105792719321,29.05,0.2955423170877284
2022-06-24,390.08,0.3236174416798473,27.23,0.2928269766719389
2022-06-27,388.59,0.31429518262980255,26.95,0.287418073051921
2022-06-28,380.65,0.30461047953510006,28.36,0.29200419181404
2022-06-29,380.34,0.3048220627210629,28.16,0.2908888250884252
2022-06-30,377.25,0.30482838326217093,28.71,0.29419135330486834
2022-07-01,381.24,0.29784601560243174,27.53,0.2843184062409727
2022-07-05,381.96,0.2951563676289824,27.54,0.28330254705159297
2022-07-06,383.25,0.29525772114598053,26.73,0.2784830884583922
2022-07-07,388.99,0.2989774838784158,26.08,0.27607099355136633
2022-07-08,388.67,0.2977170650637595,24.64,0.26692682602550377
2022-07-11,384.23,0.28902936328780016,26.17,0.2726317453151201
2022-07-12,380.83,0.27205965006083827,27.29,0.2725638600243353
2022-07-13,378.83,0.23410055015116055,26.82,0.2545602200604642
2022-07-14,377.91,0.23399263654572386,26.4,0.2519970546182896
2022-07-15,385.13,0.23824776344146237,24.23,0.24067910537658496
2022-07-18,381.95,0.20420946072284188,25.3,0.23348378428913674
2022-07-19,392.27,0.22125516306045617,24.5,0.23550206522418246
2022-07-20,394.77,0.20682078241868362,23.88,0.22600831296747345
2022-07-21,398.79,0.2078145654448768,23.11,0.22178582617795073
2022-07-22,395.09,0.2107921323229776,23.03,0.22249685292919105
2022-07-25,395.57,0.18060416196494336,23.36,0.21240166478597736
2022-07-26,390.89,0.18549592055820746,24.69,0.22233836822328298
2022-07-27,401.04,0.18891634232798268,23.24,0.21500653693119307
2022-07-28,406.07,0.19158599677036328,22.33,0.2106143987081453
2022-07-29,411.99,0.19051646108080733,21.33,0.2041865844323229
2022-08-01,410.77,0.19078826377500116,22.84,0.21335530551000048
2022-08-02,408.06,0.1942362968544972,23.93,0.22127451874179888
2022-08-03,414.45,0.19903357666268465,21.95,0.21131343066507385
2022-08-04,414.17,0.19530072043415828,21.44,0.20676028817366332
2022-08-05,413.47,0.19555842042745178,21.15,0.2051233681709807
2022-08-08,412.99,0.18865892385811786,21.29,0.20320356954324714
2022-08-09,411.35,0.1851172286158111,21.77,0.20466689144632444
2022-08-10,419.99,0.1910955933735962,19.74,0.1948782373494385
2022-08-11,419.99,0.19000674547718563,20.2,0.19720269819087424
2022-08-12,427.1,0.18811264733589292,19.53,0.19242505893435718
2022-08-15,428.86,0.18137039295150897,19.95,0.19224815718060356
2022-08-16,429.7,0.16404114642295536,19.69,0.18375645856918216
2022-08-17,426.65,0.16898434481663174,19.9,0.1869937379266527
2022-08-18,427.89,0.16737965082116082,19.56,0.1843118603284643
2022-08-19,422.14,0.17225712662740525,20.6,0.19250285065096212
2022-08-22,413.35,0.19274848526404287,23.8,0.21989939410561715
2022-08-23,412.35,0.18638328721676167,24.11,0.21921331488670465
2022-08-24,413.67,0.16557479348232004,22.82,0.20314991739292804
2022-08-25,419.51,0.16701938745828485,21.78,0.19748775498331395
2022-08-26,405.31,0.2033966053495012,25.56,0.23471864213980048
2022-08-29,402.63,0.20432525450409608,26.21,0.23899010180163843
2022-08-30,398.21,0.2065273061806618,26.21,0.2398709224722647
2022-08-31,395.18,0.1977823161334258,25.87,0.23433292645337034
2022-09-01,396.42,0.19867776772808374,25.56,0.2328311070912335
2022-09-02,392.24,0.20088568545947363,25.99,0.23629427418378943
2022-09-06,390.76,0.20084590375666644,26.91,0.2417983615026666
2022-09-07,397.78,0.21358357414892473,24.64,0.2332734296595699
2022-09-08,400.38,0.1991988031992356,23.61,0.22133952127969425
2022-09-09,406.6,0.20893106317380225,22.79,0.2203124252695209
2022-09-12,410.97,0.202838738124577,23.87,0.22435549524983084
2022-09-13,393.1,0.25117259956476884,27.27,0.26408903982590753
2022-09-14,394.6,0.25187465527796005,26.16,0.257709862111184
2022-09-15,390.12,0.25298101187059224,26.27,0.25881240474823686
2022-09-16,385.56,0.25266241714737786,26.3,0.25886496685895116
2022-09-19,388.55,0.25463516594113716,25.76,0.25641406637645486
2022-09-20,384.09,0.2484327579876549,27.16,0.262333103195062
2022-09-21,377.39,0.253215173639192,27.99,0.2692260694556768
2022-09-22,374.22,0.2519320127949578,27.35,0.2648728051179831
2022-09-23,367.95,0.2447578344859887,29.92,0.2774231337943955
2022-09-26,364.31,0.2221542582674795,32.26,0.2824217033069918
2022-09-27,363.38,0.22230888225836481,32.6,0.2845235529033459
2022-09-28,370.53,0.23743505392007752,30.18,0.276054021568031
2022-09-29,362.79,0.24516232517241274,31.84,0.2891049300689651
2022-09-30,357.18,0.24665832930414935,31.62,0.28838333172165975
2022-10-03,366.61,0.26932002113077586,30.1,0.2883280084523103
2022-10-04,377.97,0.2949385224925847,29.07,0.29239540899703387
2022-10-05,377.09,0.28582897675413327,28.55,0.28563159070165334
2022-10-06,373.2,0.2849142389923357,30.52,0.29708569559693426
2022-10-07,362.79,0.2886127449151504,31.36,0.30360509796606017
2022-10-10,360.02,0.28206718858342605,32.45,0.30752687543337043
2022-10-11,357.74,0.2441532723029563,33.63,0.29944130892118254
2022-10-12,356.56,0.24215800296134432,33.57,0.2982832011845377
2022-10-13,365.97,0.26460797909663,31.94,0.297483191638652
2022-10-14,357.63,0.272378799571779,32.02,0.3010715198287116
2022-10-17,366.82,0.2889472105472872,31.37,0.30379888421891493
2022-10-18,371.13,0.29145763604093133,30.5,0.29958305441637256
2022-10-19,368.5,0.2862087728862886,30.76,0.2990435091545155
2022-10-20,365.41,0.2862038852491396,29.98,0.29436155409965586
2022-10-21,374.29,0.29318145234860205,29.69,0.2954125809394408
2022-10-24,378.87,0.29288468460103384,29.85,0.2962538738404135
2022-10-25,384.92,0.29638292465539406,28.46,0.2893131698621576
2022-10-26,382.02,0.2917985145403423,27.28,0.2803994058161369
2022-10-27,379.98,0.28073684960118295,27.39,0.2766347398404732
2022-10-28,389.02,0.2819749572140998,25.75,0.26728998288563993
2022-10-31,386.21,0.27246479062064755,25.88,0.264265916248259
2022-11-01,384.52,0.2524759331323083,25.81,0.2558503732529233
2022-11-02,374.87,0.26909598867719,25.86,0.262798395470876
2022-11-03,371.01,0.2690864963851864,25.3,0.2594345985540746
2022-11-04,376.35,0.2522520031537601,24.55,0.24820080126150404
2022-11-07,379.95,0.2510413914312038,24.35,0.24651655657248153
2022-11-08,382.0,0.24887874757490164,25.54,0.2527914990299607
2022-11-09,374.13,0.2624200030178837,26.09,0.2615080012071535
